source,E_MeV,eta_rad,sin2theta12,dm21_eV2,dm21_1e5_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,7.0,0.25,0.24,6.5e-05,6.499999999999999,0.29993221332384357,0.30917637440648915,0.009244161082645586
B8,10.0,0.25,0.24,6.5e-05,6.499999999999999,0.26309818217774433,0.2628055367228668,-0.00029264545487756033
B8,12.0,0.25,0.24,6.5e-05,6.499999999999999,0.25189245757633993,0.24475737947252094,-0.007135078103818998
B8,14.0,0.25,0.24,6.5e-05,6.499999999999999,0.245229333762173,0.23768537323207517,-0.007543960530097843
B8,5.0,0.8,0.24,6.5e-05,6.499999999999999,0.3555299552557181,0.35606001391401265,0.0005300586582945299
B8,7.0,0.8,0.24,6.5e-05,6.499999999999999,0.29993221332384357,0.3113338035328234,0.01140159020897985
B8,10.0,0.8,0.24,6.5e-05,6.499999999999999,0.26309818217774433,0.2771996969492514,0.014101514771507062
B8,12.0,0.8,0.24,6.5e-05,6.499999999999999,0.25189245757633993,0.26520480319936185,0.013312345623021915
B8,14.0,0.8,0.24,6.5e-05,6.499999999999999,0.245229333762173,0.2458447210386454,0.0006153872764723956
B8,5.0,1.25,0.24,6.5e-05,6.499999999999999,0.3555299552557181,0.35623690337440017,0.0007069481186820492
B8,7.0,1.25,0.24,6.5e-05,6.499999999999999,0.29993221332384357,0.30224018526322244,0.0023079719393788722
B8,10.0,1.25,0.24,6.5e-05,6.499999999999999,0.26309818217774433,0.28181763872232457,0.018719456544580237
B8,12.0,1.25,0.24,6.5e-05,6.499999999999999,0.25189245757633993,0.28005597519437986,0.028163517618039924
B8,14.0,1.25,0.24,6.5e-05,6.499999999999999,0.245229333762173,0.272756845889656,0.027527512127482973
B8,5.0,0.25,0.24,6.625e-05,6.624999999999999,0.3591431658087068,0.3687657195598784,0.009622553751171603
B8,7.0,0.25,0.24,6.625e-05,6.624999999999999,0.3025499944380142,0.2990294988762889,-0.0035204955617253453
B8,10.0,0.25,0.24,6.625e-05,6.624999999999999,0.2645130094031398,0.31086343194633503,0.04635042254319521
B8,12.0,0.25,0.24,6.625e-05,6.624999999999999,0.2528627146617679,0.2639857893254242,0.011123074663656307
B8,14.0,0.25,0.24,6.625e-05,6.624999999999999,0.24592306060281818,0.26819863158335067,0.022275570980532483
B8,5.0,0.8,0.24,6.625e-05,6.624999999999999,0.3591431658087068,0.360993150728725,0.0018499849200181995
B8,7.0,0.8,0.24,6.625e-05,6.624999999999999,0.3025499944380142,0.31112067375663166,0.008570679318617436
B8,10.0,0.8,0.24,6.625e-05,6.624999999999999,0.2645130094031398,0.2683671211142565,0.003854111711116659
B8,12.0,0.8,0.24,6.625e-05,6.624999999999999,0.2528627146617679,0.25855854775413223,0.005695833092364322
B8,14.0,0.8,0.24,6.625e-05,6.624999999999999,0.24592306060281818,0.27889618507987607,0.032973124477057886
B8,5.0,1.25,0.24,6.625e-05,6.624999999999999,0.3591431658087068,0.3633104350327018,0.004167269223994963
B8,7.0,1.25,0.24,6.625e-05,6.624999999999999,0.3025499944380142,0.3054599945785858,0.002910000140571578
B8,10.0,1.25,0.24,6.625e-05,6.624999999999999,0.2645130094031398,0.28730294316735955,0.022789933764219727
B8,12.0,1.25,0.24,6.625e-05,6.624999999999999,0.2528627146617679,0.2670581019059778,0.014195387244209878
B8,14.0,1.25,0.24,6.625e-05,6.624999999999999,0.24592306060281818,0.28168575970918663,0.03576269910636845
B8,5.0,0.25,0.24,6.75e-05,6.749999999999999,0.3627195283938562,0.3619898171086342,-0.0007297112852219789
B8,7.0,0.25,0.24,6.75e-05,6.749999999999999,0.30518610922392486,0.30813349868715684,0.0029473894632319753
B8,10.0,0.25,0.24,6.75e-05,6.749999999999999,0.26595411581161926,0.2750848081700636,0.009130692358444326
B8,12.0,0.25,0.24,6.75e-05,6.749999999999999,0.2538539047600022,0.26007962206098406,0.00622571730098187
B8,14.0,0.25,0.24,6.75e-05,6.749999999999999,0.24663273187014934,0.2538511794479414,0.007218447577792053
B8,5.0,0.8,0.24,6.75e-05,6.749999999999999,0.3627195283938562,0.36598267941246626,0.0032631510186100776
B8,7.0,0.8,0.24,6.75e-05,6.749999999999999,0.30518610922392486,0.3061453081195462,0.0009591988956213493
B8,10.0,0.8,0.24,6.75e-05,6.749999999999999,0.26595411581161926,0.28586493863654105,0.019910822824921792
B8,12.0,0.8,0.24,6.75e-05,6.749999999999999,0.2538539047600022,0.28148793456844506,0.027634029808442873
B8,14.0,0.8,0.24,6.75e-05,6.749999999999999,0.24663273187014934,0.27623027681281215,0.029597544942662812
B8,5.0,1.25,0.24,6.75e-05,6.749999999999999,0.3627195283938562,0.3665932874903214,0.0038737590964652013
B8,7.0,1.25,0.24,6.75e-05,6.749999999999999,0.30518610922392486,0.3176436702782654,0.012457561054340538
B8,10.0,1.25,0.24,6.75e-05,6.749999999999999,0.26595411581161926,0.2772404630914092,0.011286347279789943
B8,12.0,1.25,0.24,6.75e-05,6.749999999999999,0.2538539047600022,0.2553808048573819,0.001526900097379713
B8,14.0,1.25,0.24,6.75e-05,6.749999999999999,0.24663273187014934,0.27682152208833505,0.030188790218185713
B8,5.0,0.25,0.24,6.875e-05,6.875,0.36625649301657187,0.3665877377880133,0.00033124477144141906
B8,7.0,0.25,0.24,6.875e-05,6.875,0.3078381954241316,0.3335294613076276,0.025691265883496017
B8,10.0,0.25,0.24,6.875e-05,6.875,0.26742091254432915,0.2808619850192554,0.013441072474926263
B8,12.0,0.25,0.24,6.875e-05,6.875,0.25486585171182957,0.2809733236901667,0.026107471978337127
B8,14.0,0.25,0.24,6.875e-05,6.875,0.2473583202888671,0.26738414027470253,0.02002581998583544
B8,5.0,0.8,0.24,6.875e-05,6.875,0.36625649301657187,0.3707772265977271,0.004520733581155234
B8,7.0,0.8,0.24,6.875e-05,6.875,0.3078381954241316,0.3210301819514675,0.013191986527335886
B8,10.0,0.8,0.24,6.875e-05,6.875,0.26742091254432915,0.26748713845805117,6.62259137220178e-05
B8,12.0,0.8,0.24,6.875e-05,6.875,0.25486585171182957,0.2577501610612519,0.0028843093494223537
B8,14.0,0.8,0.24,6.875e-05,6.875,0.2473583202888671,0.24745811521775998,9.979492889289343e-05
B8,5.0,1.25,0.24,6.875e-05,6.875,0.36625649301657187,0.3669208949280905,0.0006644019115186195
B8,7.0,1.25,0.24,6.875e-05,6.875,0.3078381954241316,0.3146264688259325,0.006788273401800882
B8,10.0,1.25,0.24,6.875e-05,6.875,0.26742091254432915,0.26787606097644945,0.0004551484321203003
B8,12.0,1.25,0.24,6.875e-05,6.875,0.25486585171182957,0.25729203427795877,0.002426182566129198
B8,14.0,1.25,0.24,6.875e-05,6.875,0.2473583202888671,0.26267670564467116,0.01531838535580407
B8,5.0,0.25,0.24,7e-05,6.999999999999999,0.3697517774989067,0.37365236690984777,0.003900589410941069
B8,7.0,0.25,0.24,7e-05,6.999999999999999,0.3105039243578687,0.32319855026138034,0.012694625903511614
B8,10.0,0.25,0.24,7e-05,6.999999999999999,0.26891278416228254,0.26807760972675276,-0.000835174435529773
B8,12.0,0.25,0.24,7e-05,6.999999999999999,0.25589836237863894,0.2979673736044117,0.04206901122577278
B8,14.0,0.25,0.24,7e-05,6.999999999999999,0.2480997891867713,0.3191073715700405,0.07100758238326918
B8,5.0,0.8,0.24,7e-05,6.999999999999999,0.3697517774989067,0.37503292870144755,0.005281151202540857
B8,7.0,0.8,0.24,7e-05,6.999999999999999,0.3105039243578687,0.3142039571222106,0.0037000327643418873
