E_MeV,T_e_MeV,T_max_MeV,dsigma_nue_cm2_per_MeV,dsigma_nux_cm2_per_MeV
13.485828877005348,2.4000000000000004,13.23508003309814,9.816310481629651e-45,1.8747969186017042e-45
13.485828877005348,2.5,13.23508003309814,9.804312821261632e-45,1.863918708437513e-45
13.485828877005348,2.6,13.23508003309814,9.792416459296327e-45,1.853141796676038e-45
13.485828877005348,2.7,13.23508003309814,9.780621395733741e-45,1.8424661833172802e-45
13.485828877005348,2.8000000000000003,13.23508003309814,9.768927630573872e-45,1.8318918683612396e-45
13.485828877005348,2.9000000000000004,13.23508003309814,9.757335163816718e-45,1.8214188518079156e-45
13.485828877005348,3.0,13.23508003309814,9.745843995462284e-45,1.8110471336573088e-45
13.485828877005348,3.1,13.23508003309814,9.734454125510566e-45,1.8007767139094184e-45
13.485828877005348,3.2,13.23508003309814,9.723165553961564e-45,1.7906075925642455e-45
13.485828877005348,3.3000000000000003,13.23508003309814,9.711978280815282e-45,1.7805397696217892e-45
13.485828877005348,3.4000000000000004,13.23508003309814,9.700892306071713e-45,1.77057324508205e-45
13.485828877005348,3.5,13.23508003309814,9.689907629730862e-45,1.7607080189450283e-45
13.485828877005348,3.6,13.23508003309814,9.679024251792727e-45,1.750944091210723e-45
13.485828877005348,3.7,13.23508003309814,9.668242172257312e-45,1.7412814618791342e-45
13.485828877005348,3.8000000000000003,13.23508003309814,9.657561391124611e-45,1.731720130950263e-45
13.485828877005348,3.9000000000000004,13.23508003309814,9.646981908394628e-45,1.7222600984241082e-45
13.485828877005348,4.0,13.23508003309814,9.636503724067363e-45,1.7129013643006707e-45
13.485828877005348,4.1000000000000005,13.23508003309814,9.626126838142813e-45,1.7036439285799495e-45
13.485828877005348,4.2,13.23508003309814,9.61585125062098e-45,1.694487791261946e-45
13.485828877005348,4.3,13.23508003309814,9.605676961501866e-45,1.6854329523466592e-45
13.485828877005348,4.4,13.23508003309814,9.595603970785466e-45,1.6764794118340897e-45
13.485828877005348,4.5,13.23508003309814,9.585632278471787e-45,1.6676271697242366e-45
13.485828877005348,4.6000000000000005,13.23508003309814,9.57576188456082e-45,1.6588762260171007e-45
13.485828877005348,4.7,13.23508003309814,9.565992789052575e-45,1.650226580712682e-45
13.485828877005348,4.800000000000001,13.23508003309814,9.556324991947043e-45,1.6416782338109793e-45
13.485828877005348,4.9,13.23508003309814,9.546758493244229e-45,1.6332311853119942e-45
13.485828877005348,5.0,13.23508003309814,9.537293292944133e-45,1.6248854352157257e-45
13.485828877005348,5.1000000000000005,13.23508003309814,9.527929391046752e-45,1.6166409835221744e-45
13.485828877005348,5.2,13.23508003309814,9.51866678755209e-45,1.6084978302313404e-45
13.485828877005348,5.300000000000001,13.23508003309814,9.509505482460143e-45,1.6004559753432227e-45
13.485828877005348,5.4,13.23508003309814,9.500445475770916e-45,1.5925154188578225e-45
13.485828877005348,5.5,13.23508003309814,9.491486767484402e-45,1.584676160775139e-45
13.485828877005348,5.6000000000000005,13.23508003309814,9.482629357600607e-45,1.5769382010951726e-45
13.485828877005348,5.7,13.23508003309814,9.473873246119529e-45,1.5693015398179223e-45
13.485828877005348,5.800000000000001,13.23508003309814,9.465218433041167e-45,1.5617661769433895e-45
13.485828877005348,5.9,13.23508003309814,9.456664918365523e-45,1.554332112471574e-45
13.485828877005348,6.0,13.23508003309814,9.448212702092596e-45,1.5469993464024754e-45
13.485828877005348,6.1000000000000005,13.23508003309814,9.439861784222385e-45,1.5397678787360934e-45
13.485828877005348,6.2,13.23508003309814,9.43161216475489e-45,1.5326377094724283e-45
13.485828877005348,6.300000000000001,13.23508003309814,9.423463843690115e-45,1.5256088386114802e-45
13.485828877005348,6.4,13.23508003309814,9.415416821028055e-45,1.518681266153249e-45
13.485828877005348,6.5,13.23508003309814,9.407471096768712e-45,1.5118549920977347e-45
13.485828877005348,6.6000000000000005,13.23508003309814,9.399626670912087e-45,1.505130016444937e-45
