source,E_MeV,spectrum_per_MeV,kind
pp,11.9,0.0,continuum
pp,11.92,0.0,continuum
pp,11.94,0.0,continuum
pp,11.959999999999999,0.0,continuum
pp,11.98,0.0,continuum
pp,12.0,0.0,continuum
pp,12.02,0.0,continuum
pp,12.04,0.0,continuum
pp,12.06,0.0,continuum
pp,12.08,0.0,continuum
pp,12.1,0.0,continuum
pp,12.12,0.0,continuum
pp,12.14,0.0,continuum
pp,12.16,0.0,continuum
pp,12.18,0.0,continuum
pp,12.2,0.0,continuum
pp,12.22,0.0,continuum
pp,12.24,0.0,continuum
pp,12.26,0.0,continuum
pp,12.28,0.0,continuum
pp,12.3,0.0,continuum
pp,12.32,0.0,continuum
pp,12.34,0.0,continuum
pp,12.36,0.0,continuum
pp,12.379999999999999,0.0,continuum
pp,12.4,0.0,continuum
pp,12.42,0.0,continuum
pp,12.44,0.0,continuum
pp,12.459999999999999,0.0,continuum
pp,12.48,0.0,continuum
pp,12.5,0.0,continuum
pp,12.52,0.0,continuum
pp,12.54,0.0,continuum
pp,12.56,0.0,continuum
pp,12.58,0.0,continuum
pp,12.6,0.0,continuum
pp,12.62,0.0,continuum
pp,12.64,0.0,continuum
pp,12.66,0.0,continuum
pp,12.68,0.0,continuum
pp,12.7,0.0,continuum
pp,12.72,0.0,continuum
pp,12.74,0.0,continuum
pp,12.76,0.0,continuum
pp,12.78,0.0,continuum
pp,12.8,0.0,continuum
pp,12.82,0.0,continuum
pp,12.84,0.0,continuum
pp,12.86,0.0,continuum
pp,12.879999999999999,0.0,continuum
pp,12.9,0.0,continuum
pp,12.92,0.0,continuum
pp,12.94,0.0,continuum
pp,12.959999999999999,0.0,continuum
pp,12.98,0.0,continuum
pp,13.0,0.0,continuum
pp,13.02,0.0,continuum
pp,13.04,0.0,continuum
pp,13.06,0.0,continuum
pp,13.08,0.0,continuum
pp,13.1,0.0,continuum
pp,13.12,0.0,continuum
pp,13.14,0.0,continuum
pp,13.16,0.0,continuum
pp,13.18,0.0,continuum
pp,13.2,0.0,continuum
pp,13.22,0.0,continuum
pp,13.24,0.0,continuum
pp,13.26,0.0,continuum
pp,13.28,0.0,continuum
pp,13.3,0.0,continuum
pp,13.32,0.0,continuum
pp,13.34,0.0,continuum
pp,13.36,0.0,continuum
pp,13.379999999999999,0.0,continuum
pp,13.4,0.0,continuum
pp,13.42,0.0,continuum
pp,13.44,0.0,continuum
pp,13.459999999999999,0.0,continuum
pp,13.48,0.0,continuum
pp,13.5,0.0,continuum
pp,13.52,0.0,continuum
pp,13.54,0.0,continuum
pp,13.56,0.0,continuum
pp,13.58,0.0,continuum
pp,13.6,0.0,continuum
pp,13.62,0.0,continuum
pp,13.64,0.0,continuum
pp,13.66,0.0,continuum
pp,13.68,0.0,continuum
pp,13.7,0.0,continuum
pp,13.72,0.0,continuum
pp,13.74,0.0,continuum
pp,13.76,0.0,continuum
pp,13.78,0.0,continuum
pp,13.8,0.0,continuum
pp,13.82,0.0,continuum
pp,13.84,0.0,continuum
pp,13.86,0.0,continuum
pp,13.879999999999999,0.0,continuum
pp,13.9,0.0,continuum
pp,13.92,0.0,continuum
pp,13.94,0.0,continuum
pp,13.959999999999999,0.0,continuum
pp,13.98,0.0,continuum
pp,14.0,0.0,continuum
pp,14.02,0.0,continuum
pp,14.04,0.0,continuum
pp,14.06,0.0,continuum
pp,14.08,0.0,continuum
pp,14.1,0.0,continuum
pp,14.12,0.0,continuum
pp,14.14,0.0,continuum
pp,14.16,0.0,continuum
pp,14.18,0.0,continuum
pp,14.2,0.0,continuum
pp,14.22,0.0,continuum
pp,14.24,0.0,continuum
pp,14.26,0.0,continuum
pp,14.28,0.0,continuum
pp,14.3,0.0,continuum
pp,14.32,0.0,continuum
pp,14.34,0.0,continuum
pp,14.36,0.0,continuum
pp,14.379999999999999,0.0,continuum
pp,14.4,0.0,continuum
pp,14.42,0.0,continuum
pp,14.44,0.0,continuum
pp,14.459999999999999,0.0,continuum
pp,14.48,0.0,continuum
pp,14.5,0.0,continuum
pp,14.52,0.0,continuum
pp,14.54,0.0,continuum
pp,14.56,0.0,continuum
pp,14.58,0.0,continuum
pp,14.6,0.0,continuum
pp,14.62,0.0,continuum
pp,14.64,0.0,continuum
pp,14.66,0.0,continuum
pp,14.68,0.0,continuum
pp,14.7,0.0,continuum
pp,14.72,0.0,continuum
pp,14.74,0.0,continuum
pp,14.76,0.0,continuum
pp,14.78,0.0,continuum
pp,14.8,0.0,continuum
pp,14.82,0.0,continuum
pp,14.84,0.0,continuum
pp,14.86,0.0,continuum
pp,14.879999999999999,0.0,continuum
pp,14.9,0.0,continuum
pp,14.92,0.0,continuum
pp,14.94,0.0,continuum
pp,14.959999999999999,0.0,continuum
pp,14.98,0.0,continuum
pp,15.0,0.0,continuum
pp,15.02,0.0,continuum
pp,15.04,0.0,continuum
pp,15.06,0.0,continuum
pp,15.08,0.0,continuum
pp,15.1,0.0,continuum
pp,15.12,0.0,continuum
pp,15.14,0.0,continuum
pp,15.16,0.0,continuum
pp,15.18,0.0,continuum
pp,15.2,0.0,continuum
