r_over_Rsun,ne_cm3,ne_over_ne0
0.766,5.553525464063087e+23,0.009255875773438478
0.768,5.519250507947754e+23,0.00919875084657959
0.77,5.485225661157731e+23,0.009142042768596217
0.772,5.451448356719255e+23,0.009085747261198759
0.774,5.417916066072904e+23,0.009029860110121506
0.776,5.3846262983591334e+23,0.00897437716393189
0.778,5.351576599718246e+23,0.008919294332863743
0.78,5.318764552604419e+23,0.008864607587674031
0.782,5.286187775113578e+23,0.00881031295852263
0.784,5.2538439203247646e+23,0.008756406533874607
0.786,5.221730675654755e+23,0.008702884459424591
0.788,5.1898457622256496e+23,0.00864974293704275
0.79,5.1581869342451694e+23,0.008596978223741948
0.792,5.126751978399381e+23,0.008544586630665634
0.794,5.095538713257608e+23,0.008492564522096013
0.796,5.064544988689293e+23,0.008440908314482154
0.798,5.033768685292521e+23,0.008389614475487535
0.8,5.003207713834003e+23,0.008338679523056673
0.802,4.972860014700266e+23,0.008288100024500443
0.804,4.9427235573598214e+23,0.008237872595599702
0.806,4.912796339836094e+23,0.008187993899726824
0.808,4.883076388190863e+23,0.008138460646984771
0.81,4.853561756018043e+23,0.008089269593363405
0.812,4.824250523947553e+23,0.008040417539912588
0.8140000000000001,4.7951407991590746e+23,0.00799190133193179
0.8160000000000001,4.766230714905517e+23,0.007943717858175861
0.8180000000000001,4.7375184300459565e+23,0.007895864050076595
0.8200000000000001,4.709002128587893e+23,0.007848336880979821
0.8220000000000001,4.680680019238578e+23,0.00780113336539763
0.8240000000000001,4.652550334965303e+23,0.0077542505582755055
0.8260000000000001,4.62461133256439e+23,0.007707685554273983
0.8280000000000001,4.596861292238745e+23,0.007661435487064575
0.8300000000000001,4.569298517183799e+23,0.007615497528639665
0.8320000000000001,4.5419213331816464e+23,0.0075698688886360775
0.834,4.514728088203229e+23,0.007524546813672047
0.836,4.487717152018379e+23,0.0074795285866972976
0.838,4.460886915813603e+23,0.007434811526356005
