source,E_MeV,spectrum_per_MeV,flux_cm2_s,flux_per_MeV_cm2_s
15O,0.1732,0.08633399582071699,144000000.0,12432095.398183247
15O,0.17666,0.08951099566692379,144000000.0,12889583.376037026
15O,0.18013,0.09273199551100063,144000000.0,13353407.35358409
15O,0.18359,0.09599799535289909,144000000.0,13823711.330817468
15O,0.18706,0.09930699519271599,144000000.0,14300207.307751102
15O,0.19052,0.10265999503040293,144000000.0,14783039.284378022
15O,0.19398,0.10604999486629876,144000000.0,15271199.260747021
15O,0.19745,0.10948999469977418,144000000.0,15766559.236767482
15O,0.20091,0.11296999453131326,144000000.0,16267679.21250911
15O,0.20438,0.116489994360916,144000000.0,16774559.187971905
15O,0.20784,0.1200399941890665,144000000.0,17285759.163225576
15O,0.2113,0.1236399940147966,144000000.0,17804159.13813071
15O,0.21477,0.12727999383859034,144000000.0,18328319.11275701
15O,0.21823,0.13094999366093185,144000000.0,18856799.08717419
15O,0.2217,0.13465999348133703,144000000.0,19391039.061312534
15O,0.22516,0.13840999329980586,144000000.0,19931039.03517204
15O,0.22862,0.14218999311682246,144000000.0,20475359.008822434
15O,0.23209,0.1460099929319027,144000000.0,21025438.982193988
15O,0.23555,0.14985999274553072,144000000.0,21579838.955356423
15O,0.23902,0.15374999255722238,144000000.0,22139998.928240024
15O,0.24248,0.15766999236746182,144000000.0,22704478.9009145
15O,0.24594,0.161619992176249,144000000.0,23273278.873379856
15O,0.24941,0.16560999198309984,144000000.0,23847838.845566377
15O,0.25287,0.16961999178898252,144000000.0,24425278.817613482
15O,0.25634,0.17366999159292884,144000000.0,25008478.789381754
15O,0.2598,0.17774999139542294,144000000.0,25595998.760940902
15O,0.26326,0.1818599911964648,144000000.0,26187838.73229093
15O,0.26673,0.1859999909960544,144000000.0,26783998.703431834
15O,0.27019,0.19015999079467583,144000000.0,27383038.67443332
15O,0.27366,0.19435999059136094,144000000.0,27987838.645155977
15O,0.27712,0.19857999038707788,144000000.0,28595518.615739215
15O,0.28058,0.20282999018134257,144000000.0,29207518.58611333
15O,0.28405,0.20710998997415497,144000000.0,29823838.556278314
15O,0.28751,0.21140998976599923,144000000.0,30443038.526303887
15O,0.29098,0.21572998955687536,144000000.0,31065118.496190052
15O,0.29444,0.22008998934581514,144000000.0,31692958.46579738
15O,0.2979,0.22445998913427082,144000000.0,32322238.435335
15O,0.30137,0.22885998892127427,144000000.0,32955838.404663496
15O,0.30483,0.2332799887073095,144000000.0,33592318.373852566
15O,0.3083,0.2377199884923766,144000000.0,34231678.34290223
15O,0.31176,0.24218998827599147,144000000.0,34875358.311742775
15O,0.31522,0.24667998805863817,144000000.0,35521918.2804439
15O,0.31869,0.2511799878408008,144000000.0,36169918.249075316
