E_MeV,sigma_nue_cm2,sigma_nux_cm2,sigma_mass_1_cm2,sigma_mass_2_cm2,sigma_mass_3_cm2,Ue1_abs2,Ue2_abs2,Ue3_abs2
8.372192513368985,7.662247806428351e-44,1.292945053603065e-44,5.607999900818331e-44,3.2045205775497985e-44,1.4356174352663515e-44,0.6774768000000001,0.3001232,0.0224
8.472459893048129,7.780513240980159e-44,1.3118353437203623e-44,5.694214545786659e-44,3.2532356540152437e-44,1.4567337286189817e-44,0.6774768000000001,0.3001232,0.0224
8.572727272727274,7.870399543546371e-44,1.3266166140719272e-44,5.759877733026899e-44,3.2905576869711713e-44,1.4731973516921546e-44,0.6774768000000001,0.3001232,0.0224
8.672994652406418,7.960284512841791e-44,1.3413983662181154e-44,5.825540172397055e-44,3.3278796569784817e-44,1.489661415902486e-44,0.6774768000000001,0.3001232,0.0224
8.773262032085562,8.050168195232299e-44,1.3561805832820848e-44,5.891201889865758e-44,3.365201566140941e-44,1.5061259057897697e-44,0.6774768000000001,0.3001232,0.0224
8.873529411764707,8.140050634958918e-44,1.3709632491657926e-44,5.956862910213285e-44,3.4025234164696597e-44,1.5225908066075587e-44,0.6774768000000001,0.3001232,0.0224
8.973796791443851,8.258345018630721e-44,1.3898425510174217e-44,6.043093623568185e-44,3.4512394908054216e-44,1.5436970062919597e-44,0.6774768000000001,0.3001232,0.0224
9.074064171122995,8.34823094001129e-44,1.4046240024687638e-44,6.108756610972875e-44,3.488561536106227e-44,1.5601607978697165e-44,0.6774768000000001,0.3001232,0.0224
9.17433155080214,8.438115608831897e-44,1.4194059061209723e-44,6.174418895642521e-44,3.5258835219696234e-44,1.576625003461697e-44,0.6774768000000001,0.3001232,0.0224
9.274598930481284,8.52799906631639e-44,1.4341882469653671e-44,6.240080500664677e-44,3.563205450263618e-44,1.5930896093188303e-44,0.6774768000000001,0.3001232,0.0224
9.374866310160428,8.617881351899631e-44,1.448971010649856e-44,6.305741448126662e-44,3.60052732277883e-44,1.6095546022938509e-44,0.6774768000000001,0.3001232,0.0224
9.475133689839573,8.707762503323471e-44,1.463754183443434e-44,6.371401759169139e-44,3.637849141232454e-44,1.626019969808747e-44,0.6774768000000001,0.3001232,0.0224
9.575401069518717,8.826086740034333e-44,1.4826222894023653e-44,6.457649086330269e-44,3.686566339412273e-44,1.6471158930965215e-44,0.6774768000000001,0.3001232,0.0224
9.675668449197861,8.915970879815846e-44,1.4974044237101082e-44,6.523311086979964e-44,3.7238883279292216e-44,1.6635803123268765e-44,0.6774768000000001,0.3001232,0.0224
9.775935828877007,9.005853880953982e-44,1.5121869686274164e-44,6.588972448656299e-44,3.7612102620889844e-44,1.6800451074635315e-44,0.6774768000000001,0.3001232,0.0224
9.87620320855615,9.095735778648865e-44,1.5269699113388412e-44,6.654633191073262e-44,3.798532143486701e-44,1.6965102667665858e-44,0.6774768000000001,0.3001232,0.0224
