T_e_MeV,epsilon_sk_like,background_sk_shape
8.8,0.9999953827852515,0.14466517663899503
8.85,0.999995997436116,0.1422740715865136
8.9,0.9999965302639778,0.13992248802430937
8.950000000000001,0.999996992161135,0.13760977271960537
9.0,0.9999973925699178,0.1353352832366127
9.05,0.999997739675702,0.1330983877580718
9.1,0.9999980405742304,0.13089846490974433
9.15,0.999998301416661,0.12873490358780418
9.200000000000001,0.9999985275353095,0.12660710278908355
9.25,0.9999987235526515,0.12451447144412296
9.3,0.9999988934758153,0.1224564282529819
9.35,0.9999990407784975,0.12043240152376271
9.4,0.9999991684719722,0.1184418290138037
9.450000000000001,0.9999992791666499,0.11648415777349691
9.5,0.9999993751254396,0.11455884399268773
9.55,0.9999994583100084,0.11266535284961243
9.600000000000001,0.9999995304208837,0.11080315836233381
9.65,0.9999995929322166,0.10897174324263141
9.700000000000001,0.9999996471219157,0.10717059875230668
9.75,0.999999694097773,0.10539922456186433
9.8,0.9999997348201092,0.10365712861152782
9.850000000000001,0.9999997701214052,0.10194382697455365
9.9,0.9999998007233204,0.1002588437228037
9.950000000000001,0.999999827251446,0.09860171079454011
10.0,0.9999998502480927,0.09697196786440505
10.05,0.9999998701833785,0.09536916221554961
10.100000000000001,0.9999998874648379,0.09379284861387621
10.15,0.9999999024457535,0.09224258918435976
10.200000000000001,0.9999999154323786,0.09071795328941247
10.25,0.9999999266901971,0.08921851740926011
10.3,0.9999999364493515,0.0877438650242943
10.350000000000001,0.9999999449093467,0.08629358649937045
10.4,0.9999999522431301,0.0848672789700174
10.450000000000001,0.9999999586006244,0.08346454623052778
10.5,0.9999999641117963,0.0820849986238988
10.55,0.9999999688893092,0.08072825293359119
10.600000000000001,0.9999999730308294,0.0793939322770782
10.65,0.999999976621022,0.07808166600115313
10.700000000000001,0.9999999797332806,0.07679108957896803
10.75,0.9999999824312288,0.07552184450877376
10.8,0.9999999847700205,0.07427357821433388
10.850000000000001,0.9999999867974674,0.07304594394698452
10.9,0.9999999885550163,0.07183860068931329
10.950000000000001,0.9999999900785964,0.07065121306042957
11.0,0.9999999913993546,0.06948345122280154
11.05,0.9999999925442905,0.06833499079063206
11.100000000000001,0.9999999935368102,0.06720551273974973
11.15,0.9999999943972036,0.06609470331898892
11.200000000000001,0.9999999951430596,0.06500225396303451
11.25,0.9999999957896257,0.06392786120670757
11.3,0.9999999963501196,0.06287122660066725
11.350000000000001,0.9999999968359994,0.061832056628506576
11.4,0.9999999972571978,0.06081006262521795
11.450000000000001,0.9999999976223253,0.05980496069700671
11.5,0.9999999979388463,0.05881647164242988
11.55,0.9999999982132315,0.057844320874838456
11.600000000000001,0.9999999984510899,0.056888238346101495
11.65,0.9999999986572841,0.055947958471591154
11.700000000000001,0.9999999988360293,0.05502322005640721
11.75,0.9999999989909794,0.05411376622282161
11.8,0.9999999991253024,0.05321934433892148
11.850000000000001,0.9999999992417439,0.05233970594843236
11.9,0.9999999993426847,0.05147460670170076
11.950000000000001,0.9999999994301878,0.0506238062878176
12.0,0.9999999995060425,0.049787068367863944
12.05,0.999999999571799,0.0489641605092594
12.100000000000001,0.999999999628802,0.048154854121196376
12.15,0.9999999996782167,0.04735892439114091
12.200000000000001,0.9999999997210531,0.046576150222383414
12.25,0.9999999997581872,0.04580631417262147
12.3,0.9999999997903779,0.0450492023935578
12.350000000000001,0.9999999998182831,0.04430460457149656
12.4,0.9999999998424738,0.04357231386892163
12.450000000000001,0.9999999998634439,0.042852126867040166
12.5,0.9999999998816225,0.042143843509276406
12.55,0.9999999998973812,0.04144726704569879
12.600000000000001,0.999999999911042,0.04076220397836619
12.65,0.9999999999228844,0.04008846400757714
12.700000000000001,0.9999999999331501,0.03942585997900746
12.75,0.9999999999420492,0.03877420783172201
12.8,0.9999999999497637,0.038133326547045175
12.850000000000001,0.9999999999564513,0.037503038098277
12.9,0.9999999999622486,0.036883167401239994
12.950000000000001,0.9999999999672742,0.03627354226564359
13.0,0.9999999999716307,0.035673993347252395
