source,r_over_Rsun,production_density_norm,shell_fraction_per_Rsun,cumulative_fraction
pp,0.7020000000000001,2.479596018045023e-07,4.728492387382928e-05,0.9999988733794135
pp,0.704,2.273465973277128e-07,4.360148857194357e-05,0.9999989642658259
pp,0.706,2.0839570003825254e-07,4.019441344603885e-05,0.9999990480617279
pp,0.708,1.9097732922319848e-07,3.7043828984528664e-05,0.9999991252999704
pp,0.71,1.7497163264940502e-07,3.41312254362594e-05,0.9999991964750248
pp,0.712,1.602677868235327e-07,3.143936506453654e-05,0.9999992620456153
pp,0.714,1.467633451409872e-07,2.8952199666549773e-05,0.99999932243718
pp,0.716,1.3436363083509932e-07,2.665479307097659e-05,0.9999993780441728
pp,0.718,1.2298117182295423e-07,2.453324834019354e-05,0.9999994292322142
pp,0.72,1.1253517471925912e-07,2.2574639416657342e-05,0.9999994763401019
pp,0.722,1.0295103545505829e-07,2.076694696565657e-05,0.9999995196816883
pp,0.724,9.415988409439553e-08,1.909899817878375e-05,0.9999995595476334
pp,0.726,8.609816158960629e-08,1.7560410314143042e-05,0.9999995962070419
pp,0.728,7.870722635526607e-08,1.614153776051121e-05,0.99999962990899
pp,0.73,7.193298867227918e-08,1.4833422423409034e-05,0.9999996608839502
pp,0.732,6.572557105760636e-08,1.3627747241338816e-05,0.9999996893451198
pp,0.734,6.003899285202987e-08,1.2516792650303724e-05,0.9999997154896597
pp,0.736,5.4830877388534675e-08,1.1493395824165448e-05,0.9999997394998482
pp,0.738,5.006218020767013e-08,1.0550912527425885e-05,0.9999997615441566
pp,0.74,4.5696936883986885e-08,9.683181425650997e-06,0.9999997817782506
pp,0.742,4.170202911961451e-08,8.884490706997971e-06,0.9999998003459227
pp,0.744,3.80469678476124e-08,8.149546876184389e-06,0.9999998173799604
pp,0.746,3.470369216909311e-08,7.473445589744433e-06,0.9999998330029528
pp,0.748,3.164638302464647e-08,6.851644408582676e-06,0.9999998473280428
pp,0.75,2.885129057248758e-08,6.279937350660175e-06,0.9999998604596245
pp,0.752,2.629657431329557e-08,5.754431133149425e-06,0.999999872493993
pp,0.754,2.3962155065119307e-08,5.271522999580826e-06,0.9999998835199472
pp,0.756,2.182957795125478e-08,4.827880033391169e-06,0.9999998936193502
pp,0.758,1.9881885619839102e-08,4.42041986488027e-06,0.9999999028676501
pp,0.76,1.810350096628021e-08,4.046292683899899e-06,0.9999999113343626
pp,0.762,1.648011867874079e-08,3.702864475649589e-06,0.9999999190835198
pp,0.764,1.4998604972907417e-08,3.38770140174774e-06,0.9999999261740857
pp,0.766,1.364690492537615e-08,3.09855525329361e-06,0.9999999326603424
pp,0.768,1.2413956855348393e-08,2.8333499069480302e-06,0.9999999385922476
pp,0.77,1.1289613242107988e-08,2.590168719146314e-06,0.9999999440157662
pp,0.772,1.0264567701101476e-08,2.3672427974273185e-06,0.9999999489731777
pp,0.774,9.330287574504939e-09,2.1629400915259536e-06,0.9999999535033606
